"id","user","userID","game","gameIndex","achieved","percent","total"
"44","BM6HxytZpfa7MwZAGlUh9wE9HzL2","17","-KZ3CJsV6V7ezHgWSpXg","1","2000","80","2500"
"45","C2nAIpH7HzaT4fuchSPPkWnq9Ek1","18","-Kf2ony3y-baa1MZ0keX","1","2275","88","2600"
"46","DFI2bTstyOXVWJFlE3oMbFi0Cto2","19","-KYOSiQIVioUtiE_7H7c","1","2350","76","3100"
"47","DMAceWb7izO6r7Oh77fFrknooJQ2","20","-KYF8MK2qb3L4oUMmr4B","1","2525","79","3200"
"48","DQ4l5E7LaRNWJ853R2oFSsGOQAB2","21","-KYJ5A-A7NTjfpQDCASQ","1","1800","45","4000"
"49","EoCwFnVjn3QRuvVE8WQHxYiWqQx2","22","-KZYb1o06lg44JbBNgmo","1","1200","67","1800"
"50","EoCwFnVjn3QRuvVE8WQHxYiWqQx2","22","-KZYbQMRf-Gy9hiMYMOK","2","2275","88","2600"
"51","Ezhwiep5ehYXUFFPz7D3zLttK2E3","23","-KYFXvNWqtBd9tYXYeXu","1","1650","79","2100"
"52","G3HTkrbQZ4Q2IMg6TYR7QFVkwHq1","24","-KYFAw0jLK7M7hDaue-J","1","2625","78","3400"
"53","GKMdxG6CwnXsYvXDkWJW3hzN0BO2","25","-Kh6SmUPNjHGQMDtWPQE","1","2375","88","2700"
"54","HzZcR0ujYwVaKj0QdFymaxR8T9w2","26","-KbZvZX9peBJBQiISLUW","1","1375","77","1800"
"55","I7k9nwZpbvQzEueaZf5V4Kx8JuB2","27","-Kh9-zsfbd0bc5n79G4v","1","1425","84","1700"
"56","IdXExLxy6XdvcGTGBeZgVXHZNGU2","28","-KYF6JIxdWxl6YUuVKY-","1","2950","80","3700"
"57","IkmT6OzYRKaMGQC1JoO0ID2yeSA3","29","-KYFUJhx2Xj-3sB05QzG","1","1850","72","2600"
"58","J35xownco3UQSJtObmC5i9z0FB62","30","-KYFWc7x0_95IlSVBiSY","1","2550","83","3100"
"59","JSgjgFbIh8eC9qwTnZLxxGGKNRR2","31","-KYFXRAyVZHJGou7_dk4","1","1200","75","1600"
"60","JSgjgFbIh8eC9qwTnZLxxGGKNRR2","31","-KYFXgsLd-4oPf91hYuR","2","1650","62","2700"
"61","JSgjgFbIh8eC9qwTnZLxxGGKNRR2","31","-KYFXvz6m1q9hUQxg8ui","3","2075","67","3100"
